Historical Rts2 Publication Microsecond,Historical Rts2 Trading Microsecond,Historical Rts2 Instrument Identification Code,Instruments New Instrument Full Name,Historical Rts2 Transaction Identification Code,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Price Notation,Historical Rts2 Price,Historical Rts2 Price Currency,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Flag List,Historical Rts2 Count Event
2022-05-17 07:31:00.988000,2022-04-14 09:25:44.023000,US298785JL15,European Investment Bank DL Notes 2021 31 ,e6fd4435-9e16-4bf9-9684-d75e66e4b3d5,BMTF,BLOOMBERG,PERC,88.011,,1000000,USD,FULJ LRGS,1
2022-04-18 15:31:23.109000,2022-04-14 13:21:32.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,d94f1bfc-2fab-4daf-8a51-22224222b972,BAPE,BLOOMBERG APA,PERC,87.8823,,100000,USD,ILQD,1
2022-05-24 06:40:23.018000,2022-04-19 09:18:33.212000,US298785JL15,European Investment Bank DL Notes 2021 31 ,1b729f8e-feee-4189-be65-dfda54be83c9,BTFE,BLOOMBERG,PERC,86.4651,,50000,USD,FULJ ILQD,1
2022-04-21 17:32:43.768000,2022-04-19 10:44:00.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,7336323b-0cc0-4cbf-9055-2f26ade06cf9,BAPA,BLOOMBERG APA,PERC,86.575,,25000,USD,ILQD,1
2022-05-24 06:49:00.706000,2022-04-19 10:44:00.443000,US298785JL15,European Investment Bank DL Notes 2021 31 ,feda54a3-5ab9-44a4-90d5-593e4a050e43,BTFE,BLOOMBERG,PERC,86.575,,25000,USD,FULJ ILQD,1
2022-05-24 06:46:34.955000,2022-04-20 13:27:20.263000,US298785JL15,European Investment Bank DL Notes 2021 31 ,eba68dcb-0b75-420c-a564-b3f2589036e0,BTFE,BLOOMBERG,PERC,86.592,,123000,USD,FULJ ILQD,1
2022-05-24 06:40:23.731000,2022-04-21 08:08:23.114000,US298785JL15,European Investment Bank DL Notes 2021 31 ,6c49976c-3133-4de5-b2a5-738aae2ed368,BTFE,BLOOMBERG,PERC,86.6387,,125000,USD,FULJ ILQD,1
2022-05-24 05:03:50.000000,2022-04-21 08:21:18.726000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208327862955282336,TWEM,TRADEWEB,PERC,86.732,USD,50000,USD,FULJ ILQD,1
2022-05-24 06:33:02.949000,2022-04-21 13:46:49.021000,US298785JL15,European Investment Bank DL Notes 2021 31 ,424dd476-f6b9-44b8-9fed-64bcb20ab040,BTFE,BLOOMBERG,PERC,86.55,,75000,USD,FULJ ILQD,1
2022-04-25 15:30:45.018000,2022-04-21 14:45:35.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,dcabc9df-e5db-4c73-aade-7dbbd04299fe,BAPE,BLOOMBERG APA,PERC,86.2627,,100000,USD,ILQD,1
2022-05-24 06:35:05.236000,2022-04-22 08:29:20.987000,US298785JL15,European Investment Bank DL Notes 2021 31 ,b9a796b9-91fb-41d4-a26a-6d147c26eac0,BTFE,BLOOMBERG,PERC,86.0962,,125000,USD,FULJ ILQD,1
2022-05-24 06:32:15.413000,2022-04-22 09:30:42.082000,US298785JL15,European Investment Bank DL Notes 2021 31 ,18e9bcde-2dc7-421f-8cbe-c3f185667f67,BTFE,BLOOMBERG,PERC,86.26,,50000,USD,FULJ ILQD,1
2022-04-26 17:31:10.659000,2022-04-22 09:53:34.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,6e83f956-23fc-4de7-afef-f0898ccec594,BAPA,BLOOMBERG APA,PERC,86.1924,,25000,USD,ILQD,1
2022-05-24 06:02:56.025101,2022-04-22 09:53:34.828000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205240702560334687,MAEL,MARKETAXESS,PERC,86.2074,USD,25000,USD,ILQD TPAC,1
2022-05-24 05:49:44.005661,2022-04-22 09:53:34.828000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205240649440332581,MANL,MARKETAXESS,PERC,86.2074,USD,25000,USD,ILQD TPAC,1
2022-05-24 06:32:00.094000,2022-04-22 13:19:26.972000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2682599c-bca9-4ac1-962f-76781396dc1a,BTFE,BLOOMBERG,PERC,86.182,,21000,USD,FULJ ILQD,1
2022-05-31 06:38:55.753000,2022-04-25 10:34:41.209000,US298785JL15,European Investment Bank DL Notes 2021 31 ,bec3bed5-ed35-4d08-a88f-0df79c423079,BTFE,BLOOMBERG,PERC,87.007,,25000,USD,FULJ ILQD,1
2022-04-27 17:31:11.949000,2022-04-25 11:39:04.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,703435fa-3d92-4e31-8333-f2741ed15af7,BAPA,BLOOMBERG APA,PERC,86.9486,,250000,USD,ILQD,1
2022-05-31 06:45:55.702000,2022-04-25 11:39:04.825000,US298785JL15,European Investment Bank DL Notes 2021 31 ,5f159f98-b38e-44e8-a73e-feadfe006209,BTFE,BLOOMBERG,PERC,86.9486,,250000,USD,FULJ ILQD,1
2022-05-31 06:48:32.605000,2022-04-26 09:50:16.122000,US298785JL15,European Investment Bank DL Notes 2021 31 ,887379ae-e9c6-41eb-9667-fd2fac2af7cd,BTFE,BLOOMBERG,PERC,87.214,,112000,USD,FULJ ILQD,1
2022-05-31 07:37:17.052000,2022-04-26 10:57:24.934000,US298785JL15,European Investment Bank DL Notes 2021 31 ,02dbb80f-d2b9-4a68-b863-0a53e55bea83,BAPA,BLOOMBERG APA,PERC,87.23,,25000000,USD,FULJ LRGS,1
